name,susceptible,exposed,infected_tested,infected_nottested,removed_tested,removed_nottested
Nieuwegein,61864.67701664552,0.22601122828951908,0.005235925634623722,0.07330295888473212,0.001228882778805669,0.017204358903279364
Aalsmeer,31364.934932317316,0.045596243408785916,0.001051841516177673,0.014725781226487426,0.00024625443517212414,0.0034475620924097382
Alkmaar,108379.92910886959,0.04987042885368817,0.0011370661545935124,0.015918926164309177,0.0002643139491579496,0.0037003952882112955
Blaricum,10199.990119738934,0.007004959652737358,0.00015596816262017485,0.0021835542766824477,3.571859832265783e-05,0.0005000603765172095
Amstelveen,89289.8514023754,0.10433975781920193,0.002392491417156235,0.033494879840187286,0.0005580330352515205,0.007812462493521288
Amsterdam,844846.3712000386,4.532800635322295,0.1813899794326085,2.5394597120565194,0.09167664231164328,1.2834729923630062
Beemster,9209.99409760189,0.004200710339767589,9.243637454558084e-05,0.0012941092436381317,2.1009476738482084e-05,0.0002941326743387492
Bergen (NH.),29844.976517248317,0.0165121112236386,0.0003770033042398889,0.005278046259358445,8.770605987204806e-05,0.0012278848382086729
Beverwijk,40704.937923358724,0.04349770030899235,0.0010036120958758432,0.014050569342261805,0.0002349839687891565,0.0032897755630481914
Bladel,20071.12404722738,1.9843290714164885,0.08292525806566052,1.1609536129192475,0.04318298868141644,0.6045618415398302
Gulpen-Wittem,14354.978204125788,0.015341228611637945,0.00034922095309104827,0.004889093343274677,8.108875348642231e-05,0.0011352425488099125
Tynaarlo,33279.995978319675,0.0029481970630871428,5.902900623893763e-05,0.0008264060873451268,1.2536544807639916e-05,0.0001755116273069588
Eijsden-Margraten,25294.940455322223,0.04171844370781902,0.0009629217122983027,0.01348090397217624,0.00022549389225877154,0.0031569144916228017
Stichtse Vecht,64459.79556149429,0.1431165524933093,0.003311483557384002,0.04636076980337603,0.0007766466573355375,0.010873053202697526
Midden-Drenthe,33399.99077149249,0.006538610237000314,0.00014588047822873356,0.0020423266952022704,3.344600656509266e-05,0.0004682440919112973
Overbetuwe,47399.89532508433,2.659078681488784,0.10796853707999397,1.5115595191199156,0.05507121186504524,0.7709969661106333
