name,gem_id,mobility_region,COVID2104_region,COVID2104_small_region,veiligheidsregio,mobility_veiligheidsregio
Landsmeer,415,2,3,9,Zaanstreek-Waterland,11
Langedijk,416,9,3,81,Noord-Holland-Noord,11
Laren,417,2,3,66,Gooi en Vechtstreek,14
Purmerend,439,2,3,9,Zaanstreek-Waterland,11
Medemblik,420,9,3,20,Noord-Holland-Noord,11
Oostzaan,431,2,3,64,Zaanstreek-Waterland,11
Opmeer,432,9,3,20,Noord-Holland-Noord,11
Ouder-Amstel,437,2,3,73,Amsterdam-Amstelland,11
Schagen,441,9,3,81,Noord-Holland-Noord,11
Texel,448,9,3,81,Noord-Holland-Noord,11
Uitgeest,450,9,3,35,Kennemerland,11
Uithoorn,451,2,3,37,Amsterdam-Amstelland,11
Velsen,453,2,3,35,Kennemerland,11
Krimpenerwaard,1931,6,5,36,Hollands-Midden,23
De Fryske Marren,1940,0,11,16,Fryslân,6
Midden-Groningen,1952,0,11,48,Groningen,6
Weesp,457,2,3,66,Gooi en Vechtstreek,14
Zandvoort,473,2,3,24,Kennemerland,11
Barendrecht,489,6,5,34,Rotterdam-Rijnmond,21
Zaanstad,479,2,3,64,Zaanstreek-Waterland,11
Alblasserdam,482,6,5,1,Zuid-Holland-Zuid,21
Nissewaard,1930,6,5,12,Rotterdam-Rijnmond,21
Montferland,1955,4,8,45,Noord- en Oost-Gelderland,12
Drechterland,498,9,3,20,Noord-Holland-Noord,11
Alphen aan den Rijn,484,11,1,61,Hollands-Midden,23
Brielle,501,6,5,12,Rotterdam-Rijnmond,21
Capelle aan den IJssel,502,6,5,38,Rotterdam-Rijnmond,21
Delft,503,11,1,2,Haaglanden,23
Dordrecht,505,6,5,1,Zuid-Holland-Zuid,21
Gorinchem,512,6,5,26,Zuid-Holland-Zuid,21
Gouda,513,11,1,36,Hollands-Midden,23
's-Gravenhage,518,11,1,6,Haaglanden,23
Hardinxveld-Giessendam,523,6,5,26,Zuid-Holland-Zuid,21
Hillegom,534,2,3,24,Hollands-Midden,23
Hellevoetsluis,530,6,5,12,Rotterdam-Rijnmond,21
Hendrik-Ido-Ambacht,531,6,5,34,Zuid-Holland-Zuid,21
Stede Broec,532,9,3,20,Noord-Holland-Noord,11
Katwijk,537,11,1,43,Hollands-Midden,23
Krimpen aan den IJssel,542,6,5,38,Rotterdam-Rijnmond,21
Leerdam,545,7,7,26,Utrecht,14
Leiden,546,11,1,43,Hollands-Midden,23
Leiderdorp,547,11,1,43,Hollands-Midden,23
Lisse,553,11,1,24,Hollands-Midden,23
Maassluis,556,6,5,47,Rotterdam-Rijnmond,21
Nieuwkoop,569,11,1,61,Hollands-Midden,23
Noordwijk,575,11,1,43,Hollands-Midden,23
Noordwijkerhout,576,11,1,43,Hollands-Midden,23
Oegstgeest,579,11,1,43,Hollands-Midden,23
Oud-Beijerland,584,6,5,53,Zuid-Holland-Zuid,21
Binnenmaas,585,6,5,53,Zuid-Holland-Zuid,21
Korendijk,588,6,5,53,Zuid-Holland-Zuid,21
Oudewater,589,7,7,3,Utrecht,14
Rijswijk,603,11,1,6,Haaglanden,23
Ridderkerk,597,6,5,34,Rotterdam-Rijnmond,21
Rotterdam,599,6,5,28,Rotterdam-Rijnmond,21
Schiedam,606,6,5,70,Rotterdam-Rijnmond,21
Sliedrecht,610,6,5,1,Zuid-Holland-Zuid,21
Albrandswaard,613,6,5,34,Rotterdam-Rijnmond,21
Westvoorne,614,6,5,12,Rotterdam-Rijnmond,21
Strijen,617,6,5,53,Zuid-Holland-Zuid,21
Zwijndrecht,642,6,5,34,Zuid-Holland-Zuid,21
Vianen,620,7,7,22,Utrecht,14
Vlaardingen,622,6,5,70,Rotterdam-Rijnmond,21
Voorschoten,626,11,1,43,Hollands-Midden,23
Waddinxveen,627,11,1,36,Hollands-Midden,23
Wassenaar,629,11,1,43,Haaglanden,23
Woerden,632,7,7,3,Utrecht,14
Zoetermeer,637,11,1,58,Haaglanden,23
Zoeterwoude,638,11,1,43,Hollands-Midden,23
Borsele,654,10,2,63,Zeeland,18
Goes,664,10,2,63,Zeeland,18
Kapelle,678,10,2,63,Zeeland,18
West Maas en Waal,668,4,8,49,Gelderland-Zuid,24
Hulst,677,10,2,63,Zeeland,18
Reimerswaal,703,10,2,63,Zeeland,18
Tholen,716,10,2,18,Zeeland,18
Middelburg,687,10,2,63,Zeeland,18
Giessenlanden,689,6,5,26,Zuid-Holland-Zuid,21
Zederik,707,7,7,26,Utrecht,14
Terneuzen,715,10,2,63,Zeeland,18
Pekela,765,0,11,48,Groningen,6
Reusel-De Mierden,1667,8,10,50,Brabant-Zuidoost,16
Roerdalen,1669,1,10,76,Limburg-Noord,2
Roosendaal,1674,10,2,80,Midden- en West-Brabant,18
Veere,717,10,2,63,Zeeland,18
Vlissingen,718,10,2,63,Zeeland,18
Maasgouw,1641,1,10,76,Limburg-Noord,2
Eemsmond,1651,0,11,48,Groningen,6
